Season,Week,Team,Day,Date,Win,OT,Home,Opp,Off_Pts,Def_Pts,G,Spread,Total,Actual_Total,Div_Game
2014,1,CRD,Mon,8-Sep,1,0,1,SDG,18,17,1,-3,45,35,0
2014,2,CRD,Sun,14-Sep,1,0,0,NYG,25,14,2,-2,42.5,39,0
2014,3,CRD,Sun,21-Sep,1,0,1,SFO,23,14,3,3,42,37,1
2014,5,CRD,Sun,5-Oct,0,0,0,DEN,20,41,4,7.5,48,61,0
2014,6,CRD,Sun,12-Oct,1,0,1,WAS,30,20,5,-5.5,47,50,0
2014,7,CRD,Sun,19-Oct,1,0,0,RAI,24,13,6,-3.5,46.5,37,0
2014,8,CRD,Sun,26-Oct,1,0,1,PHI,24,20,7,1,48.5,44,0
2014,9,CRD,Sun,2-Nov,1,0,0,DAL,28,17,8,1.5,45,45,0
2014,10,CRD,Sun,9-Nov,1,0,1,RAM,31,14,9,-7,43,45,1
2014,11,CRD,Sun,16-Nov,1,0,1,DET,14,6,10,-1,41,20,0
2014,12,CRD,Sun,23-Nov,0,0,0,SEA,3,19,11,7,41.5,22,1
2014,13,CRD,Sun,30-Nov,0,0,0,ATL,18,29,12,-1.5,45,47,0
2014,14,CRD,Sun,7-Dec,1,0,1,KAN,17,14,13,2.5,41,31,0
2014,15,CRD,Thu,11-Dec,1,0,0,RAM,12,6,14,4.5,40.5,18,2
2014,16,CRD,Sun,21-Dec,0,0,1,SEA,6,35,15,9,36,41,2
2014,17,CRD,Sun,28-Dec,0,0,0,SFO,17,20,16,6.5,37.5,37,2
2014,1,ATL,Sun,7-Sep,1,1,1,NOR,37,34,1,3,51.5,71,1
2014,2,ATL,Sun,14-Sep,0,0,0,CIN,10,24,2,6,49,34,0
2014,3,ATL,Thu,18-Sep,1,0,1,TAM,56,14,3,-6,46,70,1
2014,4,ATL,Sun,28-Sep,0,0,0,MIN,28,41,4,-3,47,69,0
2014,5,ATL,Sun,5-Oct,0,0,0,NYG,20,30,5,4,50,50,0
2014,6,ATL,Sun,12-Oct,0,0,1,CHI,13,27,6,-3.5,55.5,40,0
2014,7,ATL,Sun,19-Oct,0,0,0,RAV,7,29,7,6.5,49.5,36,0
2014,8,ATL,Sun,26-Oct,0,0,1,DET,21,22,8,3.5,45.5,43,0
2014,10,ATL,Sun,9-Nov,1,0,0,TAM,27,17,9,-3,47,44,2
2014,11,ATL,Sun,16-Nov,1,0,0,CAR,19,17,10,-1.5,47,36,1
2014,12,ATL,Sun,23-Nov,0,0,1,CLE,24,26,11,-2.5,48.5,50,0
2014,13,ATL,Sun,30-Nov,1,0,1,CRD,29,18,12,1.5,45,47,0
2014,14,ATL,Mon,8-Dec,0,0,0,GNB,37,43,13,13.5,54.5,80,0
2014,15,ATL,Sun,14-Dec,0,0,1,PIT,20,27,14,3,55,47,0
2014,16,ATL,Sun,21-Dec,1,0,0,NOR,30,14,15,6,56.5,44,2
2014,17,ATL,Sun,28-Dec,0,0,1,CAR,3,34,16,-3,48,37,2
2014,1,RAV,Sun,7-Sep,0,0,1,CIN,16,23,1,-2,43,39,1
2014,2,RAV,Thu,11-Sep,1,0,1,PIT,26,6,2,-2.5,44,32,1
2014,3,RAV,Sun,21-Sep,1,0,0,CLE,23,21,3,-2,41.5,44,1
2014,4,RAV,Sun,28-Sep,1,0,1,CAR,38,10,4,-3,42,48,0
2014,5,RAV,Sun,5-Oct,0,0,0,CLT,13,20,5,3,49,33,0
2014,6,RAV,Sun,12-Oct,1,0,0,TAM,48,17,6,-3,44,65,0
2014,7,RAV,Sun,19-Oct,1,0,1,ATL,29,7,7,-6.5,49.5,36,0
2014,8,RAV,Sun,26-Oct,0,0,0,CIN,24,27,8,-3,44.5,51,2
2014,9,RAV,Sun,2-Nov,0,0,0,PIT,23,43,9,2.5,47.5,66,2
2014,10,RAV,Sun,9-Nov,1,0,1,OTI,21,7,10,-10.5,44.5,28,0
2014,12,RAV,Mon,24-Nov,1,0,0,NOR,34,27,11,3,51,61,0
2014,13,RAV,Sun,30-Nov,0,0,1,SDG,33,34,12,-6.5,45.5,67,0
2014,14,RAV,Sun,7-Dec,1,0,0,MIA,28,13,13,3,45,41,0
2014,15,RAV,Sun,14-Dec,1,0,1,JAX,20,12,14,-13.5,45,32,0
2014,16,RAV,Sun,21-Dec,0,0,0,HTX,13,25,15,-6.5,42,38,0
2014,17,RAV,Sun,28-Dec,1,0,1,CLE,20,10,16,-13.5,39.5,30,2
2014,1,BUF,Sun,7-Sep,1,1,0,CHI,23,20,1,7,47,43,0
2014,2,BUF,Sun,14-Sep,1,0,1,MIA,29,10,2,-1.5,42.5,39,1
2014,3,BUF,Sun,21-Sep,0,0,1,SDG,10,22,3,-2.5,45.5,32,0
2014,4,BUF,Sun,28-Sep,0,0,0,HTX,17,23,4,3,42.5,40,0
